school_name,state,city,control,level,enrollment,has_ia_program,ia_program_name,ia_cost_model,ia_price,ia_opt_out,bookstore_partner,publishers_platforms,oer_program,source_url,source_type,verification_date,confidence,notes
Southern New Hampshire University,NH,,private_nonprofit,4-year,119248,yes,SNHU Online Bookstore (BNC Virtual),per-course,,unknown,Barnes & Noble College,Various; digital via LMS,unknown,https://www.snhu.edu/admission/online/financial-aid/book-vouchers,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Western Governors University,UT,,private_nonprofit,4-year,107952,yes,Resource Fee,included-tuition,,no,Independent/In-house,Various; digital via LMS,unknown,https://www.wgu.edu/financial-aid-tuition.html,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arizona State University Campus Immersion,AZ,,public,4-year,64216,yes,Inclusive Access,per-course,,yes,Follett,"Brytewave/RedShelf, McGraw Connect",unknown,https://provost.asu.edu/inclusive-access,,2026-03-09,verified,41%+ courses use IA. Auto-charged after add/drop if no opt-out. Digital via Canvas.
Grand Canyon University,AZ,,private_forprofit,4-year,64210,yes,Canyon Connect eBooks,per-course,,unknown,BibliU,Various; digital via BibliU + Microsoft login; Halo classroom,unknown,https://www.gcu.edu/,,2026-03-09,verified,Digital textbooks via BibliU platform accessible through Halo classroom. Not formally named 'Inclusive Access' but functionally similar.
University of Phoenix-Arizona,AZ,,private_forprofit,4-year,63660,yes,Equitable Access,flat-rate-semester,,yes,BibliU,"BibliU (100K students), various",unknown,https://bibliu.com/blog/university-of-phoenix-partners-with-bibliu,,2026-03-09,verified,One of largest digital textbook programs in US; digital-first via LMS
University of Central Florida,FL,,public,4-year,59709,yes,First Day,per-course,,opt-in,Barnes & Noble College,BN First Day; digital via Webcourses@UCF,yes,https://digitallearning.ucf.edu/ilab/aim/first-day/,,2026-03-09,verified,Rare opt-in structure! Has Affordable Instructional Materials (AIM) initiative.
Texas A&M University-College Station,TX,,public,4-year,56006,yes,First Day,per-course,,yes,Barnes & Noble College,Various; BN First Day; digital,unknown,https://tamu.bncollege.com/shop/tamu/page/find-textbooks,,2026-03-09,verified,BN First Day. Per-course/program. Digital. TAMU-Texarkana has Eagle Book Bundle. TAMU-CC doesn't use IA.
Ivy Tech Community College,IN,,public,2-year,51103,yes,Ivy+ Textbooks,flat-rate-credit,$17/credit,yes,eCampus.com,Various; digital via LMS,unknown,https://www.ivytech.edu/tuition-aid/ivy-textbooks/,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Lone Star College System,TX,,public,4-year,49093,yes,STAR Bundle,flat-rate-credit,$21,yes,Independent/In-house,Various; digital via LMS; also ZTC/OER courses,unknown,https://www.lonestar.edu/STARBundle,,2026-03-09,verified,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.
Liberty University,VA,,private_nonprofit,4-year,47618,yes,Inclusive Access,included-tuition,,no,Independent/In-house,Various via Canvas,unknown,https://www.liberty.edu/online/inclusive-access/,,2026-03-09,verified,IA since Fall 2018; LUO UG no additional cost; residential online $38/cr; interactive digital; Canvas delivery; grad lower cost; opt-out N/A (bundled)
Ohio State University-Main Campus,OH,,public,4-year,45986,yes,CarmenBooks,per-course,,yes,Barnes & Noble College,Various; digital via CarmenCanvas; pilot 2017 scaled 2019,unknown,https://affordablelearning.osu.edu/carmenbooks,,2026-03-09,verified,"Saved students $32M+. Piloted 2017, scaled 2019. Opt-out by 2nd Friday for full refund."
Brigham Young University-Idaho,ID,,private_nonprofit,4-year,43532,yes,Auto Access,per-course,,yes,University Bookstore,Various; digital via LMS,unknown,https://www.byui.edu/university-store/auto-access,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of Maryland Global Campus,MD,,public,4-year,42992,no,Inclusive Access / First Day (varies by institution),per-course or per-credit hr; digital via lms; auto-enrolled; opt-out; varies by institution,,unknown,UMGC Online Bookstore,Various; digital via LMS,yes,https://www.umgc.edu/current-students/finances/course-materials,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
Arizona State University Digital Immersion,AZ,,public,4-year,42511,yes,Inclusive Access,per-course,,yes,Follett,Various; digital via Canvas,unknown,https://provost.asu.edu/inclusive-access,,2026-03-09,verified,ASU Online IA program. Same model as campus immersion. 41%+ courses.
Dallas College,TX,,public,4-year,42033,yes,IncludED on Campus / Follett ACCESS,included-tuition,,yes,Follett,Various,unknown,https://www.dallascollege.edu/admissions/tuition/included/pages/default.aspx,,,verified,Small/specialty/private institution. No formal inclusive access program found.
The University of Texas at Austin,TX,,public,4-year,40506,yes,Longhorn Textbook Access (LTA),per-course,,yes,Independent/In-house,Various via Canvas,unknown,https://www.universitycoop.com/longhorn-textbook-access,,2026-03-09,verified,"LTA; $5M+ saved; 1,238 courses 2024-25; Canvas delivery; University Co-op partner; opt-out by 12th class day"
Florida International University,FL,,public,4-year,39936,yes,Panther Book Pack,flat-rate-credit,$20,yes,Barnes & Noble College,BN First Day Complete; multiple,unknown,https://shopfiu.fiu.edu/panther-book-pack/,,2026-03-09,verified,Fall 2021 launch. Largest university to adopt BN comprehensive program. $20/cr. Opt-out.
Miami Dade College,FL,,public,4-year,39727,yes,Shark Pack Program,flat-rate-credit,$26.75,yes,Follett,Various; digital via LMS,unknown,https://www.mdc.edu/sharkpack/,,2026-03-09,verified,FL state/community college system IA. FL Affordability Counts metric targets $20/cr. Per-course via LMS. Auto-enrolled. Opt-out. Financial aid eligible. Statute requires 45-day advance info.
Michigan State University,MI,,public,4-year,38424,yes,Inclusive Access,per-course,,yes,Independent/In-house,Various; via RedShelf,unknown,https://www.msubookstore.org/,,2026-03-09,verified,MSU: Inclusive Access via RedShelf. Charged after day 15. Opt-out by drop date. Bookstore + publisher collaboration. Also library textbook lending.
Houston Community College,TX,,public,4-year,38181,yes,First Day - Inclusive Access (FD-IA),per-course,,yes,Barnes & Noble College,Various; digital via LMS; also ZTC/OER courses,yes,https://www.hccs.edu/resources-for/current-students/textbook-savings/,,2026-03-09,verified,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.
Kennesaw State University,GA,,public,4-year,37743,yes,Day One Access (D1A),per-course,,yes,Independent/In-house,Various; digital via D2L,yes,https://www.kennesaw.edu/day-one-access/,,2026-03-09,verified,KSU: Day One Access. $2.5M+ saved. Digital via D2L. Auto-enrolled. Opt-out by drop/add. Also OER initiatives.
Purdue University-Main Campus,IN,,public,4-year,37658,yes,Inclusive Access,per-course,,yes,Follett,Various; digital via Brightspace,yes,https://www.purdue.edu/libraries/,,2026-03-09,verified,Purdue: Instructional Materials Access. Flat fee in tuition. 60% savings. Follett facilitated. Auto-enrolled opt-out.
University of Houston,TX,,public,4-year,37553,yes,Cougar Textbook Access Program (CTAP),flat-rate-semester,$339,yes,Independent/In-house,Various; Follett,unknown,https://uh.edu/af-university-services/auxiliary-services/cougar-textbook-access-program/,,2026-03-09,verified,CTAP. Flat per-term fee. UG. Opt-out. Permanent since Spring 2022. Saved millions. UH-Downtown has GTAP (flat fee UG+grad opt-out).
American Public University System,WV,,private_forprofit,4-year,37245,yes,University Book Grant,included-tuition,,no,Akademos,Various; digital via LMS,unknown,https://www.apus.edu/book-grant/,,,verified,State university or community college. Various IA models common at larger institutions. Per-course. Opt-out.
University of South Florida,FL,,public,4-year,36681,yes,USF ACCESS,per-course,,yes,Follett,Follett; various digital titles,yes,https://www.usf.edu/auxiliary-services/campus-store/usf-access/,,2026-03-09,verified,Follett-powered. Up to 50% savings. Auto-enrolled with opt-out. Email notification.
University of Arizona,AZ,,public,4-year,36560,yes,Pay One Price,flat-rate-semester,$275,yes,Independent/In-house,Various; digital via Brightspace,yes,https://shop.arizona.edu/payoneprice,,2026-03-09,verified,"Two programs: course-level IA (opt-out, 60% savings) + Pay One Price $275/sem flat rate for all undergrads."
